Card on the Table: , Cards in Hand: , Possible Move: , Applicable rule: 
Yellow Reverse," Blue 3, Wild Draw 4, Yellow 6, Yellow 6, Yellow 2, Red 1, Green 5 ",Green 5,this is an illegal move
Blue Reverse," Wild Normal, Red Skip, Red 0, Blue 6, Blue 5, Blue 8, Red 1 ",Red 1,this is an illegal move
Yellow Skip," Yellow 1, Blue Reverse, Yellow 9, Green Skip, Red 8, Blue 6, Green 7 ",Red 8,this is an illegal move
Red 6," Blue 9, Red 2, Yellow 7, Red 5, Green 2, Red 6, Yellow 8 ",Blue 9,this is an illegal move
Red Skip," Blue Reverse, Wild Normal, Yellow 8, Red Draw 2, Blue 3, Yellow 8, Green 1 ",Yellow 8,this is an illegal move
Red Draw 2," Green 7, Blue 7, Wild Draw 4, Green Draw 2, Yellow 0, Red 6, Red Skip ",Green 7,this is an illegal move
Blue Draw 2," Red 5, Blue 4, Green 8, Wild Normal, Yellow 2, Green 6, Yellow 7 ",Red 5,this is an illegal move
Blue 1," Wild Normal, Red 9, Blue 8, Blue 1, Green 3, Yellow 8, Red Skip ",Red 9,this is an illegal move
Blue 9," Green 7, Yellow Skip, Red 9, Blue 2, Red 5, Green 5, Yellow 4 ",Yellow Skip,this is an illegal move
Red Draw 2," Yellow Reverse, Red 3, Green Draw 2, Red 7, Yellow 8, Yellow 7, Green Skip ",Green Skip,this is an illegal move
Blue 7," Yellow 9, Red 0, Blue 5, Blue 7, Wild Draw 4, Yellow 2, Green 9 ",Yellow 2,this is an illegal move
Red 3," Yellow Skip, Wild Normal, Green 2, Blue Skip, Blue 3, Blue 1, Blue 6 ",Green 2,this is an illegal move
Red 7," Yellow 1, Wild Normal, Green 3, Yellow 8, Green 2, Red 9, Red 6 ",Yellow 1,this is an illegal move
Green 0," Blue 4, Red 8, Red Skip, Yellow 7, Red Draw 2, Red 8, Red 8 ",Red 8,this is an illegal move
Red Skip," Green Skip, Wild Normal, Red Skip, Blue 2, Red 1, Yellow 8, Red Skip ",Blue 2,this is an illegal move
Red Skip," Yellow Draw 2, Blue 7, Wild Normal, Yellow 5, Wild Draw 4, Yellow 8, Red 8 ",Blue 7,this is an illegal move
Yellow Skip," Blue 2, Green Reverse, Red 9, Yellow 8, Green Draw 2, Yellow 3, Red 0 ",Red 0,this is an illegal move
Blue 8," Blue 7, Red 1, Blue Draw 2, Yellow 8, Yellow 9, Red 2, Green 3 ",Red 1,this is an illegal move
Green 6," Red 2, Wild Normal, Red 8, Blue Draw 2, Blue 6, Green Skip, Yellow 8 ",Blue Draw 2,this is an illegal move
Green Skip," Blue 1, Green 7, Yellow 5, Red 0, Red 5, Yellow 7, Yellow Draw 2 ",Yellow 5,this is an illegal move
Blue Reverse," Wild Draw 4, Green 9, Green 2, Green 5, Red 4, Red 3, Yellow 4 ",Green 2,this is an illegal move
Red 3," Yellow 4, Yellow Skip, Yellow 1, Red Draw 2, Green 3, Yellow Skip, Yellow Draw 2 ",Yellow Skip,this is an illegal move
Red 7," Green 7, Green 3, Yellow Reverse, Yellow 7, Red 8, Blue 3, Blue 5 ",Yellow Reverse,this is an illegal move
Blue 4," Yellow 3, Red 2, Green Reverse, Blue 7, Yellow 7, Yellow 8, Yellow 1 ",Yellow 3,this is an illegal move
Yellow 3," Red 7, Red Draw 2, Green 9, Blue 5, Green 6, Red 5, Yellow Skip ",Red 5,this is an illegal move
Blue 3," Yellow 8, Red 9, Green Draw 2, Yellow 3, Yellow 5, Green 7, Green 5 ",Red 9,this is an illegal move
Blue 5," Green 5, Red 6, Yellow Draw 2, Green 5, Yellow 3, Green 9, Green Skip ",Yellow Draw 2,this is an illegal move
Blue 7," Blue 8, Green 6, Red 3, Blue 5, Green 5, Yellow 3, Green 5 ",Red 3,this is an illegal move
Red 0," Blue 2, Yellow 5, Green Draw 2, Red 7, Blue 2, Blue Reverse, Blue 8 ",Blue Reverse,this is an illegal move
Green 9," Blue Skip, Red 1, Green 9, Blue 5, Blue 9, Green 1, Green 8 ",Blue 5,this is an illegal move
Red 2," Yellow 5, Yellow Skip, Red Skip, Yellow 4, Blue 9, Blue 5, Wild Draw 4 ",Yellow Skip,this is an illegal move
Green 3," Blue 6, Wild Normal, Green Skip, Red Reverse, Yellow 9, Green Draw 2, Red Skip ",Red Reverse,this is an illegal move
Blue 6," Blue 2, Yellow Skip, Blue 1, Red Skip, Yellow 7, Green 6, Yellow Reverse ",Yellow 7,this is an illegal move
Red 1," Green 6, Blue 1, Yellow 9, Green 5, Green Skip, Green 4, Wild Draw 4 ",Green 6,this is an illegal move
