Card on the Table:,Cards in Hand:,Possible Move:,Applicable rule:
Red 9,"Blue Reverse, Yellow Reverse, Green Skip, Wild Normal, Blue Draw 2, Red 8, Blue Skip",Wild Normal,Wild cards can be played on any colour
Red 9,"Blue Reverse, Yellow Reverse, Green Skip, Wild Normal, Blue Draw 2, Red 8, Blue Skip",Red 8,it is the same color as the tabled card
Green 5,"Red 3, Yellow 1, Yellow Reverse, Red Reverse, Red Skip, Blue 4, Green 8",Green 8,it is the same color as the tabled card
Yellow 8,"Red 6, Blue 8, Green 5, Red Reverse, Blue 7, Red Draw 2, Wild Normal",Blue 8,Wild cards can be played on any colour
Yellow 8,"Red 6, Blue 8, Green 5, Red Reverse, Blue 7, Red Draw 2, Wild Normal",Wild Normal,Wild cards can be played on any colour
Wild Draw 4,"Blue 9, Blue 4, Yellow 5, Yellow Draw 2, Green 6, Blue 3, Wild Normal",Pick up 4 cards,You have to pick up 4 cards when a Wild Draw 4 is played
Green 5,"Blue Draw 2, Green 1, Yellow Skip, Red 6, Red 6, Red Reverse, Wild Draw 4",Green 1,it is the same color as the tabled card
Green 5,"Blue Draw 2, Green 1, Yellow Skip, Red 6, Red 6, Red Reverse, Wild Draw 4",Wild Draw 4,Wild cards can be played on any colour
Blue 7,"Red 0, Yellow 9, Red 0, Red 9, Yellow 5, Yellow 8, Blue 5",Blue 5,it is the same color as the tabled card
Red 7,"Blue 9, Yellow 5, Green 7, Blue Skip, Red 6, Wild Normal, Yellow 5",Green 7,Wild cards can be played on any colour
Red 7,"Blue 9, Yellow 5, Green 7, Blue Skip, Red 6, Wild Normal, Yellow 5",Red 6,it is the same color as the tabled card
Red 7,"Blue 9, Yellow 5, Green 7, Blue Skip, Red 6, Wild Normal, Yellow 5",Wild Normal,Wild cards can be played on any colour
Yellow 2,"Red 3, Blue 5, Blue 7, Green 5, Yellow 3, Red 4, Yellow Reverse",Yellow 3,it is the same color as the tabled card
Yellow 2,"Red 3, Blue 5, Blue 7, Green 5, Yellow 3, Red 4, Yellow Reverse",Yellow Reverse,it is the same color as the tabled card
Blue 7,"Yellow 2, Yellow Draw 2, Red Draw 2, Yellow 9, Blue 2, Red Reverse, Wild Draw 4",Blue 2,it is the same color as the tabled card
Blue 7,"Yellow 2, Yellow Draw 2, Red Draw 2, Yellow 9, Blue 2, Red Reverse, Wild Draw 4",Wild Draw 4,Wild cards can be played on any colour
Green 6,"Red 6, Red Skip, Red 4, Red Skip, Green Skip, Green 6, Red Skip",Red 6,Wild cards can be played on any colour
Green 6,"Red 6, Red Skip, Red 4, Red Skip, Green Skip, Green 6, Red Skip",Green Skip,it is the same color as the tabled card
Green 6,"Red 6, Red Skip, Red 4, Red Skip, Green Skip, Green 6, Red Skip",Green 6,it is the same color as the tabled card
Green 9,"Red Reverse, Yellow 9, Blue 7, Green 6, Blue 8, Blue Skip, Yellow 1",Yellow 9,Wild cards can be played on any colour
Green 9,"Red Reverse, Yellow 9, Blue 7, Green 6, Blue 8, Blue Skip, Yellow 1",Green 6,it is the same color as the tabled card
Red 8,"Yellow 3, Yellow Reverse, Blue 2, Green Skip, Yellow 4, Blue 3, Wild Normal",Wild Normal,Wild cards can be played on any colour
Yellow Skip,"Yellow 0, Wild Draw 4, Yellow Draw 2, Green 0, Yellow Draw 2, Yellow 3, Green 1",Yellow 0,it is the same color as the tabled card
Yellow Skip,"Yellow 0, Wild Draw 4, Yellow Draw 2, Green 0, Yellow Draw 2, Yellow 3, Green 1",Wild Draw 4,Wild cards can be played on any colour
Yellow Skip,"Yellow 0, Wild Draw 4, Yellow Draw 2, Green 0, Yellow Draw 2, Yellow 3, Green 1",Yellow Draw 2,it is the same color as the tabled card
Yellow Skip,"Yellow 0, Wild Draw 4, Yellow Draw 2, Green 0, Yellow Draw 2, Yellow 3, Green 1",Yellow Draw 2,it is the same color as the tabled card
Yellow Skip,"Yellow 0, Wild Draw 4, Yellow Draw 2, Green 0, Yellow Draw 2, Yellow 3, Green 1",Yellow 3,it is the same color as the tabled card
Red 6,"Green 6, Blue 5, Blue 2, Red Draw 2, Green 2, Blue 6, Green 7",Green 6,Wild cards can be played on any colour
Red 6,"Green 6, Blue 5, Blue 2, Red Draw 2, Green 2, Blue 6, Green 7",Red Draw 2,it is the same color as the tabled card
Red 6,"Green 6, Blue 5, Blue 2, Red Draw 2, Green 2, Blue 6, Green 7",Blue 6,Wild cards can be played on any colour
Yellow 9,"Green 7, Blue Skip, Wild Normal, Green 1, Green Reverse, Blue 3, Red 5",Wild Normal,Wild cards can be played on any colour
Blue Reverse,"Yellow 8, Green 7, Green 2, Wild Draw 4, Yellow 1, Blue 9, Blue 8",Wild Draw 4,Wild cards can be played on any colour
Blue Reverse,"Yellow 8, Green 7, Green 2, Wild Draw 4, Yellow 1, Blue 9, Blue 8",Blue 9,it is the same color as the tabled card
Blue Reverse,"Yellow 8, Green 7, Green 2, Wild Draw 4, Yellow 1, Blue 9, Blue 8",Blue 8,it is the same color as the tabled card
Green 5,"Blue 5, Blue Reverse, Red 5, Red 0, Red 3, Green Skip, Wild Draw 4",Blue 5,Wild cards can be played on any colour
Green 5,"Blue 5, Blue Reverse, Red 5, Red 0, Red 3, Green Skip, Wild Draw 4",Red 5,Wild cards can be played on any colour
Green 5,"Blue 5, Blue Reverse, Red 5, Red 0, Red 3, Green Skip, Wild Draw 4",Green Skip,it is the same color as the tabled card
Green 5,"Blue 5, Blue Reverse, Red 5, Red 0, Red 3, Green Skip, Wild Draw 4",Wild Draw 4,Wild cards can be played on any colour
Yellow Draw 2,"Blue 3, Yellow 4, Red 7, Yellow 6, Red 4, Blue 7, Yellow 7",Pick up 2 cards,You must pick up 2 cards when a Draw 2 is played
Red 8,"Yellow 5, Yellow 9, Yellow 3, Yellow Draw 2, Green 2, Blue 9, Green 1",Pick up 1 card,If there are no allowed moves you must pick up
Yellow 2,"Green Skip, Blue 6, Yellow 2, Yellow 8, Yellow Reverse, Red Reverse, Wild Draw 4",Yellow 2,it is the same color as the tabled card
Yellow 2,"Green Skip, Blue 6, Yellow 2, Yellow 8, Yellow Reverse, Red Reverse, Wild Draw 4",Yellow 8,it is the same color as the tabled card
Yellow 2,"Green Skip, Blue 6, Yellow 2, Yellow 8, Yellow Reverse, Red Reverse, Wild Draw 4",Yellow Reverse,it is the same color as the tabled card
Yellow 2,"Green Skip, Blue 6, Yellow 2, Yellow 8, Yellow Reverse, Red Reverse, Wild Draw 4",Wild Draw 4,Wild cards can be played on any colour
Wild Draw 4,"Green Reverse, Yellow 5, Green 8, Red Draw 2, Green 1, Wild Normal, Yellow 2",Pick up 4 cards,You have to pick up 4 cards when a Wild Draw 4 is played
Blue Draw 2,"Green 8, Yellow 7, Yellow 1, Green Reverse, Yellow Skip, Red 2, Blue 8",Pick up 2 cards,You must pick up 2 cards when a Draw 2 is played
Yellow 1,"Green 4, Blue Reverse, Blue 5, Yellow 4, Red 2, Green 1, Green 5",Yellow 4,it is the same color as the tabled card
Yellow 1,"Green 4, Blue Reverse, Blue 5, Yellow 4, Red 2, Green 1, Green 5",Green 1,Wild cards can be played on any colour
Yellow Draw 2,"Green Reverse, Green 9, Green Skip, Yellow Reverse, Green 9, Green 4, Red 5",Pick up 2 cards,You must pick up 2 cards when a Draw 2 is played
Blue Reverse,"Blue Skip, Red 3, Yellow 6, Blue 1, Yellow 4, Blue 3, Red Draw 2",Blue Skip,it is the same color as the tabled card
Blue Reverse,"Blue Skip, Red 3, Yellow 6, Blue 1, Yellow 4, Blue 3, Red Draw 2",Blue 1,it is the same color as the tabled card
Blue Reverse,"Blue Skip, Red 3, Yellow 6, Blue 1, Yellow 4, Blue 3, Red Draw 2",Blue 3,it is the same color as the tabled card
Red 4,"Yellow 8, Blue 4, Yellow Draw 2, Red 3, Green Reverse, Wild Draw 4, Yellow 7",Blue 4,Wild cards can be played on any colour
Red 4,"Yellow 8, Blue 4, Yellow Draw 2, Red 3, Green Reverse, Wild Draw 4, Yellow 7",Red 3,it is the same color as the tabled card
Red 4,"Yellow 8, Blue 4, Yellow Draw 2, Red 3, Green Reverse, Wild Draw 4, Yellow 7",Wild Draw 4,Wild cards can be played on any colour
Wild Draw 4,"Green 3, Red 5, Blue 3, Green 9, Wild Draw 4, Green 4, Blue 2",Pick up 4 cards,You have to pick up 4 cards when a Wild Draw 4 is played
Red Skip,"Red 2, Blue 3, Yellow 8, Green 5, Red 5, Red 0, Yellow 3",Red 2,it is the same color as the tabled card
Red Skip,"Red 2, Blue 3, Yellow 8, Green 5, Red 5, Red 0, Yellow 3",Red 5,it is the same color as the tabled card
Red Skip,"Red 2, Blue 3, Yellow 8, Green 5, Red 5, Red 0, Yellow 3",Red 0,it is the same color as the tabled card
Blue 3,"Red 8, Wild Draw 4, Yellow 8, Green 1, Yellow 8, Red 3, Yellow 3",Wild Draw 4,Wild cards can be played on any colour
Blue 3,"Red 8, Wild Draw 4, Yellow 8, Green 1, Yellow 8, Red 3, Yellow 3",Red 3,Wild cards can be played on any colour
Blue 3,"Red 8, Wild Draw 4, Yellow 8, Green 1, Yellow 8, Red 3, Yellow 3",Yellow 3,Wild cards can be played on any colour
Yellow 7,"Blue 6, Yellow Reverse, Green 7, Green Draw 2, Blue 8, Blue 2, Blue 8",Yellow Reverse,it is the same color as the tabled card
Yellow 7,"Blue 6, Yellow Reverse, Green 7, Green Draw 2, Blue 8, Blue 2, Blue 8",Green 7,Wild cards can be played on any colour
Blue 6,"Blue 7, Red Skip, Red 6, Green 5, Red 5, Blue 9, Blue 8",Blue 7,it is the same color as the tabled card
Blue 6,"Blue 7, Red Skip, Red 6, Green 5, Red 5, Blue 9, Blue 8",Red 6,Wild cards can be played on any colour
Blue 6,"Blue 7, Red Skip, Red 6, Green 5, Red 5, Blue 9, Blue 8",Blue 9,it is the same color as the tabled card
Blue 6,"Blue 7, Red Skip, Red 6, Green 5, Red 5, Blue 9, Blue 8",Blue 8,it is the same color as the tabled card
Yellow 5,"Red 5, Blue Draw 2, Blue 8, Red Draw 2, Blue 6, Blue 6, Green Draw 2",Red 5,Wild cards can be played on any colour
Wild Normal,"Red 6, Blue Reverse, Yellow Reverse, Yellow 2, Green Reverse, Wild Draw 4, Blue 2",Red 6,Any card can be played on a Wild Normal
Wild Normal,"Red 6, Blue Reverse, Yellow Reverse, Yellow 2, Green Reverse, Wild Draw 4, Blue 2",Blue Reverse,Any card can be played on a Wild Normal
Wild Normal,"Red 6, Blue Reverse, Yellow Reverse, Yellow 2, Green Reverse, Wild Draw 4, Blue 2",Yellow Reverse,Any card can be played on a Wild Normal
Wild Normal,"Red 6, Blue Reverse, Yellow Reverse, Yellow 2, Green Reverse, Wild Draw 4, Blue 2",Yellow 2,Any card can be played on a Wild Normal
Wild Normal,"Red 6, Blue Reverse, Yellow Reverse, Yellow 2, Green Reverse, Wild Draw 4, Blue 2",Green Reverse,Any card can be played on a Wild Normal
Wild Normal,"Red 6, Blue Reverse, Yellow Reverse, Yellow 2, Green Reverse, Wild Draw 4, Blue 2",Wild Draw 4,Any card can be played on a Wild Normal
Wild Normal,"Red 6, Blue Reverse, Yellow Reverse, Yellow 2, Green Reverse, Wild Draw 4, Blue 2",Blue 2,Any card can be played on a Wild Normal
Red 6,"Yellow Reverse, Blue 6, Red 1, Blue Draw 2, Blue 6, Yellow Draw 2, Wild Normal",Blue 6,Wild cards can be played on any colour
Red 6,"Yellow Reverse, Blue 6, Red 1, Blue Draw 2, Blue 6, Yellow Draw 2, Wild Normal",Red 1,it is the same color as the tabled card
Red 6,"Yellow Reverse, Blue 6, Red 1, Blue Draw 2, Blue 6, Yellow Draw 2, Wild Normal",Blue 6,Wild cards can be played on any colour
Red 6,"Yellow Reverse, Blue 6, Red 1, Blue Draw 2, Blue 6, Yellow Draw 2, Wild Normal",Wild Normal,Wild cards can be played on any colour
Red 3,"Blue Reverse, Red 4, Blue 6, Yellow Skip, Blue 5, Yellow Draw 2, Blue Draw 2",Red 4,it is the same color as the tabled card
Red 4,"Yellow 7, Wild Normal, Yellow 6, Green Draw 2, Green 8, Green 3, Wild Draw 4",Wild Normal,Wild cards can be played on any colour
Red 4,"Yellow 7, Wild Normal, Yellow 6, Green Draw 2, Green 8, Green 3, Wild Draw 4",Wild Draw 4,Wild cards can be played on any colour
Green 1,"Blue 5, Blue 2, Red 7, Blue 9, Red 5, Yellow 9, Blue 0",Pick up 1 card,If there are no allowed moves you must pick up
Blue Skip,"Blue 5, Wild Draw 4, Blue 3, Yellow Reverse, Wild Normal, Wild Draw 4, Red 9",Blue 5,it is the same color as the tabled card
Blue Skip,"Blue 5, Wild Draw 4, Blue 3, Yellow Reverse, Wild Normal, Wild Draw 4, Red 9",Wild Draw 4,Wild cards can be played on any colour
Blue Skip,"Blue 5, Wild Draw 4, Blue 3, Yellow Reverse, Wild Normal, Wild Draw 4, Red 9",Blue 3,it is the same color as the tabled card
Blue Skip,"Blue 5, Wild Draw 4, Blue 3, Yellow Reverse, Wild Normal, Wild Draw 4, Red 9",Wild Normal,Wild cards can be played on any colour
Blue Skip,"Blue 5, Wild Draw 4, Blue 3, Yellow Reverse, Wild Normal, Wild Draw 4, Red 9",Wild Draw 4,Wild cards can be played on any colour
Red 8,"Red 7, Blue 4, Blue Skip, Yellow 6, Red 8, Yellow 5, Yellow Draw 2",Red 7,it is the same color as the tabled card
Red 8,"Red 7, Blue 4, Blue Skip, Yellow 6, Red 8, Yellow 5, Yellow Draw 2",Red 8,it is the same color as the tabled card
Yellow 3,"Wild Draw 4, Yellow 8, Yellow Draw 2, Blue Skip, Blue Skip, Blue 5, Yellow Reverse",Wild Draw 4,Wild cards can be played on any colour
Yellow 3,"Wild Draw 4, Yellow 8, Yellow Draw 2, Blue Skip, Blue Skip, Blue 5, Yellow Reverse",Yellow 8,it is the same color as the tabled card
Yellow 3,"Wild Draw 4, Yellow 8, Yellow Draw 2, Blue Skip, Blue Skip, Blue 5, Yellow Reverse",Yellow Draw 2,it is the same color as the tabled card
Yellow 3,"Wild Draw 4, Yellow 8, Yellow Draw 2, Blue Skip, Blue Skip, Blue 5, Yellow Reverse",Yellow Reverse,it is the same color as the tabled card
