Card on the Table: ; Cards in Hand: ; Possible Move: ; Applicable rule: 
Yellow 1 ; Blue Reverse, Blue 9, Green 9, Blue 9, Yellow 7, Blue Reverse, Red 0 ;Yellow 7;it is the same color as the tabled card
Green 9 ; Green 9, Blue Draw 2, Blue Skip, Red 3, Red 7, Blue 7, Green 4 ;Green 9;it is the same color as the tabled card
Green 9 ; Green 9, Blue Draw 2, Blue Skip, Red 3, Red 7, Blue 7, Green 4 ;Green 4;it is the same color as the tabled card
Blue Reverse ; Red 4, Blue 3, Yellow 9, Blue 9, Blue 8, Blue 6, Yellow 9 ;Blue 3;it is the same color as the tabled card
Blue Reverse ; Red 4, Blue 3, Yellow 9, Blue 9, Blue 8, Blue 6, Yellow 9 ;Blue 9;it is the same color as the tabled card
Blue Reverse ; Red 4, Blue 3, Yellow 9, Blue 9, Blue 8, Blue 6, Yellow 9 ;Blue 8;it is the same color as the tabled card
Blue Reverse ; Red 4, Blue 3, Yellow 9, Blue 9, Blue 8, Blue 6, Yellow 9 ;Blue 6;it is the same color as the tabled card
Blue 9 ; Red 1, Yellow 9, Blue 9, Wild Normal, Red 3, Yellow 0, Red 5 ;Yellow 9;it is the same type as the tabled card
Blue 9 ; Red 1, Yellow 9, Blue 9, Wild Normal, Red 3, Yellow 0, Red 5 ;Blue 9;it is the same color as the tabled card
Blue 9 ; Red 1, Yellow 9, Blue 9, Wild Normal, Red 3, Yellow 0, Red 5 ;Wild Normal;Wild cards can be played on any colour
Yellow 4 ; Green 5, Yellow Reverse, Yellow 6, Yellow Skip, Green 4, Blue 1, Green 3 ;Yellow Reverse;it is the same color as the tabled card
Yellow 4 ; Green 5, Yellow Reverse, Yellow 6, Yellow Skip, Green 4, Blue 1, Green 3 ;Yellow 6;it is the same color as the tabled card
Yellow 4 ; Green 5, Yellow Reverse, Yellow 6, Yellow Skip, Green 4, Blue 1, Green 3 ;Yellow Skip;it is the same color as the tabled card
Yellow 4 ; Green 5, Yellow Reverse, Yellow 6, Yellow Skip, Green 4, Blue 1, Green 3 ;Green 4;it is the same type as the tabled card
Green 0 ; Blue 9, Wild Normal, Red 4, Yellow 6, Blue 4, Yellow 7, Green 6 ;Wild Normal;Wild cards can be played on any colour
Green 0 ; Blue 9, Wild Normal, Red 4, Yellow 6, Blue 4, Yellow 7, Green 6 ;Green 6;it is the same color as the tabled card
Red 9 ; Yellow 9, Red 2, Red 6, Yellow 7, Red 7, Blue 1, Wild Normal ;Yellow 9;it is the same type as the tabled card
Red 9 ; Yellow 9, Red 2, Red 6, Yellow 7, Red 7, Blue 1, Wild Normal ;Red 2;it is the same color as the tabled card
Red 9 ; Yellow 9, Red 2, Red 6, Yellow 7, Red 7, Blue 1, Wild Normal ;Red 6;it is the same color as the tabled card
Red 9 ; Yellow 9, Red 2, Red 6, Yellow 7, Red 7, Blue 1, Wild Normal ;Red 7;it is the same color as the tabled card
Red 9 ; Yellow 9, Red 2, Red 6, Yellow 7, Red 7, Blue 1, Wild Normal ;Wild Normal;Wild cards can be played on any colour
Yellow 6 ; Green 1, Blue Draw 2, Blue 2, Blue Draw 2, Yellow 1, Yellow 9, Wild Draw 4 ;Yellow 1;it is the same color as the tabled card
Yellow 6 ; Green 1, Blue Draw 2, Blue 2, Blue Draw 2, Yellow 1, Yellow 9, Wild Draw 4 ;Yellow 9;it is the same color as the tabled card
Yellow 6 ; Green 1, Blue Draw 2, Blue 2, Blue Draw 2, Yellow 1, Yellow 9, Wild Draw 4 ;Wild Draw 4;Wild cards can be played on any colour
Blue 9 ; Red 6, Blue 4, Blue Reverse, Blue 6, Blue Draw 2, Red 6, Blue 8 ;Blue 4;it is the same color as the tabled card
Blue 9 ; Red 6, Blue 4, Blue Reverse, Blue 6, Blue Draw 2, Red 6, Blue 8 ;Blue Reverse;it is the same color as the tabled card
Blue 9 ; Red 6, Blue 4, Blue Reverse, Blue 6, Blue Draw 2, Red 6, Blue 8 ;Blue 6;it is the same color as the tabled card
Blue 9 ; Red 6, Blue 4, Blue Reverse, Blue 6, Blue Draw 2, Red 6, Blue 8 ;Blue Draw 2;it is the same color as the tabled card
Blue 9 ; Red 6, Blue 4, Blue Reverse, Blue 6, Blue Draw 2, Red 6, Blue 8 ;Blue 8;it is the same color as the tabled card
Wild Normal ; Blue 1, Blue Reverse, Yellow 5, Blue 4, Green 8, Blue 8, Yellow 4 ;Blue 1;Any card can be played on a Wild Normal
Wild Normal ; Blue 1, Blue Reverse, Yellow 5, Blue 4, Green 8, Blue 8, Yellow 4 ;Blue Reverse;Any card can be played on a Wild Normal
Wild Normal ; Blue 1, Blue Reverse, Yellow 5, Blue 4, Green 8, Blue 8, Yellow 4 ;Yellow 5;Any card can be played on a Wild Normal
Wild Normal ; Blue 1, Blue Reverse, Yellow 5, Blue 4, Green 8, Blue 8, Yellow 4 ;Blue 4;Any card can be played on a Wild Normal
Wild Normal ; Blue 1, Blue Reverse, Yellow 5, Blue 4, Green 8, Blue 8, Yellow 4 ;Green 8;Any card can be played on a Wild Normal
Wild Normal ; Blue 1, Blue Reverse, Yellow 5, Blue 4, Green 8, Blue 8, Yellow 4 ;Blue 8;Any card can be played on a Wild Normal
